anzianita_ipotesi,classe_importo,beneficiari,pensione_mensile_lorda,pensione_annua_lorda,ral_finale_implicita,pensione_contributiva_equivalente,componente_non_finanziata_annua,quota_non_finanziata_pct,sopra_3000_lordi,sopra_soglia_3000_netti,sopra_soglia_2500_netti
38,"1000,00-1249,99",1725424.0,1125.0,14625.0,19243.42105263158,13444.192370253915,1180.8076297460848,8.073898323050152,False,False,False
38,"1250,00-1499,99",1666361.0,1375.0,17875.0,23519.736842105263,16431.790674754782,1443.2093252452178,8.07389832305017,False,False,False
38,"1500,00-1749,99",1636586.0,1625.0,21125.0,27796.052631578947,19419.388979255655,1705.6110207443453,8.073898323050155,False,False,False
38,"1750,00-1999,99",1148332.0,1875.0,24375.0,32072.36842105263,22406.987283756524,1968.0127162434765,8.07389832305016,False,False,False
38,"2000,00-2249,99",956322.0,2125.0,27625.0,36348.68421052631,25394.585588257396,2230.414411742604,8.07389832305015,False,False,False
38,"2250,00-2499,99",695542.0,2375.0,30875.0,40625.0,28382.183892758265,2492.816107241735,8.073898323050155,False,False,False
38,"250,00-499,99",1411717.0,375.0,4875.0,6414.473684210526,4481.397456751303,393.60254324869675,8.073898323050189,False,False,False
38,"2500,00-2999,99",856464.0,2750.0,35750.0,47039.47368421053,32863.581349509564,2886.4186504904355,8.07389832305017,False,False,False
38,"3000,00 e piÃ¹",1104624.0,3214.2398121963556,41785.11755855262,54980.41784020082,38411.429652708095,3373.6879058445265,8.07389832305018,True,False,False
38,"500,00-749,99",2486968.0,625.0,8125.0,10690.78947368421,7468.995761252175,656.0042387478252,8.073898323050157,False,False,False
38,"750,00-999,99",1755743.0,875.0,11375.0,14967.105263157895,10456.594065753048,918.4059342469518,8.073898323050125,False,False,False
38,"Fino a 249,99",620425.0,125.0,1625.0,2138.157894736842,1493.7991522504349,131.20084774956513,8.073898323050162,False,False,False
40,"1000,00-1249,99",1725424.0,1125.0,14625.0,18281.25,14056.666988631037,568.3330113689626,3.8860376845741036,False,False,False
40,"1250,00-1499,99",1666361.0,1375.0,17875.0,22343.75,17180.370763882376,694.6292361176238,3.8860376845741196,False,False,False
40,"1500,00-1749,99",1636586.0,1625.0,21125.0,26406.25,20304.07453913371,820.9254608662886,3.886037684574147,False,False,False
40,"1750,00-1999,99",1148332.0,1875.0,24375.0,30468.75,23427.778314385065,947.2216856149353,3.886037684574093,False,False,False
40,"2000,00-2249,99",956322.0,2125.0,27625.0,34531.25,26551.482089636393,1073.5179103636074,3.8860376845741444,False,False,False
40,"2250,00-2499,99",695542.0,2375.0,30875.0,38593.75,29675.185864887746,1199.814135112254,3.8860376845741023,False,False,False
40,"250,00-499,99",1411717.0,375.0,4875.0,6093.75,4685.555662877011,189.44433712298905,3.8860376845741347,False,False,False
40,"2500,00-2999,99",856464.0,2750.0,35750.0,44687.5,34360.74152776475,1389.2584722352476,3.8860376845741196,False,False,False
40,"3000,00 e piÃ¹",1104624.0,3214.2398121963556,41785.11755855262,52231.39694819078,40161.332143683685,1623.7854148689366,3.8860376845740827,True,False,False
40,"500,00-749,99",2486968.0,625.0,8125.0,10156.25,7809.2594381283525,315.7405618716475,3.8860376845741236,False,False,False
40,"750,00-999,99",1755743.0,875.0,11375.0,14218.75,10932.96321337969,442.0367866203105,3.886037684574158,False,False,False
40,"Fino a 249,99",620425.0,125.0,1625.0,2031.25,1561.8518876256717,63.14811237432832,3.8860376845740507,False,False,False
