anno_pil,pil_nominale_milioni,edizione,serie_istat,fonte_id
1990,704250.796217297,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1991,769298.294353401,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1992,809600.548605498,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1993,833888.617300431,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1994,882001.460984443,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1995,952158.19433314,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1996,1009157.60977846,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1997,1054336.42058884,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1998,1098080.77212908,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1999,1133998.08092937,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2000,1198291.8706651,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2001,1255737.75723367,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2002,1301873.03726576,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2003,1341850.13323396,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2004,1397728.27588473,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2005,1436379.46426292,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2006,1493031.30439813,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2007,1554198.90360429,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2008,1575143.87352146,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2009,1519695.11603532,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2010,1551885.60817591,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2011,1580410.13929429,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2012,1567009.99910633,2013M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1990,704250.796217297,2013M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1991,769298.294353401,2013M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1992,809600.548605498,2013M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1993,833888.617300431,2013M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1994,882001.460984443,2013M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1995,952158.19433314,2013M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
