indice_ccnl_id,codice_istat,contratto_istat,anno,indice_retribuzione_contrattuale,base,fonte_id,natura_dato
metalmeccanici,Z0720,Metalmeccanica,2010,85.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2011,87.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2012,89.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2013,91.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2014,93.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2015,96.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2016,96.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2017,96.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2018,97.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2019,97.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2020,98.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2021,99.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2022,100.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2023,105.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2024,111.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
metalmeccanici,Z0720,Metalmeccanica,2025,115.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2005,82.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2006,85.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2007,87.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2008,90.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2009,93.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2010,94.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2011,95.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2012,95.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2013,95.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2014,95.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2015,95.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2016,95.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2017,95.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2018,97.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2019,99.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2020,100.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2021,100.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2022,101.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2023,106.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2024,106.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
pubblica_amministrazione,Z2540,Pubblica amministrazione,2025,109.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2005,77.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2006,79.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2007,81.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2008,84.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2009,86.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2010,88.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2011,90.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2012,91.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2013,92.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2014,93.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2015,94.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2016,95.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2017,96.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2018,97.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2019,98.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2020,99.0,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2021,99.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2022,100.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2023,103.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2024,106.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
totale_economia,Z3620,Totale economia,2025,110.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2005,76.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2006,79.7,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2007,81.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2008,84.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2009,85.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2010,86.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2011,87.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2012,89.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2013,91.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
trasporti,Z1280,"Trasporti, poste e attivita connesse",2014,92.1,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
